parcel_id,ACRES,PARCEL_ID,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,cat_id,cat_id_y,county,deed_restricted_units,exp2020_id,exp_id,exsfd_id,fees,geom_id,gg_id,hra_id,inclusionary_units,juris,juris_id,juris_name,juris_name_full,juris_ppa,juris_sesit,juris_tra,juris_trich,juris_y,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,nodev,non_residential_sqft,oldest_building,opp_id,parking_config,parking_ratio,pba50chcat,pba50zoningmodcat,pda_id_pba40,pda_id_pba50,pda_pba40,pda_pba50,perfarea,perffoot,policy_based_revenue_reduction,ppa_id,ppa_id_y,residential,residential_sales_price_sqft,residential_sqft,sesit_id,sesit_id_y,stories,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,tra_id,tra_id_y,trich_id,trich_id_y,urbanized,vmt_nonres_cat,vmt_res_cat,zoninghzcat,zoningmodcat,ave_sqft_per_unit,residential_units,subsidy_per_unit,regional,subaccount
2019007,0.215275734931,2019007.0,3079101.2541419524,678892.2295312501,519.9848571777344,3657117.464300561,14066.246021662642,,,Sonoma,0,in,,,0.0,885740417620,GG,,0,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,800796.1450079355,35.0,,,-227235.53354631303,1.5,1.721763085399449,0.0,0.0,1973.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,santa rosa3,sro4,santa rosa3,1.0,1.0,0.0,,,371.4177551269531,371.4177551269531,9846.372215163849,dr,dr,4.0,30,3879897.3991498877,2.0,1920.0,cr4,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4cr4NANA,1500.0,6.0,37872.588924385505,1,1
2006015,0.843629043857,2006015.0,5426881.916620789,2015274.9116775116,638.5778013351305,7790920.784128333,27561.614609552,,,Sonoma,1,in,,,0.0,2015743318256,GG,,1,Rohnert Park,rohp,Rohnert Park,rohnert_park,,rohpdr,,rohpConn,rohnert_park,62546.0,2601949.420297976,25.0,,,-568593.0686460738,0.75,1.0215794306703398,0.0,0.0,1977.0,,surface,0.0,GGNADRNA,rohnert_parkGGNADRNAinNA,roh2,,roh2,,1.0,1.0,330682.51585564157,,,403.8183898925781,403.8183898925781,19293.1302266864,dr,dr,2.0,29,8028831.336918766,0.0,4641.0,b3,,,Conn,Conn,1.0,MH,M,rohpNAConnNA,62546ROH2b3NANA,1246.0,15.0,37906.20457640492,1,1
2019006,0.215085235614,2019006.0,3076376.5314226183,678892.2295312501,519.9848571777344,3653881.2501524067,14053.798681693093,,,Sonoma,0,in,,,0.0,1187555659681,GG,,0,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,800688.2712029971,35.0,,,-227647.22352267258,1.5,1.7217630853994492,0.0,0.0,1973.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,santa rosa3,sro4,santa rosa3,1.0,1.0,0.0,,,371.4177551269531,371.4177551269531,9837.659077185164,dr,dr,4.0,30,3877064.802625615,2.0,1920.0,cr4,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4cr4NANA,1500.0,6.0,37941.20392044543,1,1
2019009,0.215780683571,2019009.0,3086323.5636660596,678468.23625,519.660107421875,3663406.200624414,14099.239669557148,,,Sonoma,0,in,,,0.0,10855672809501,GG,,0,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,800581.7762708138,35.0,,,-227969.12209870882,1.5,1.721763085399449,0.0,0.0,1973.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,,sro4,,1.0,1.0,0.0,,,371.185791015625,371.185791015625,9869.467768690003,dr,dr,4.0,30,3886905.3399368734,2.0,1920.0,cr4,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4cr4NANA,1500.0,6.0,37994.85368311813,1,1
1892254,1.47923972382,1892254.0,9515626.999805642,844998.1703515626,456.8545471191406,11039252.06589861,48327.206702923526,,,Sonoma,1,in,,sfd,0.0,16649921829115,GG,HRA,1,Santa Rosa,sros,Santa Rosa,santa_rosa,,sroshradr,,srosConn,santa_rosa,70098.0,1580948.3080781368,10.403893273674143,,,-532177.0517261724,0.75,0.8134225883654451,0.0,0.0,1997.0,,surface,0.0,GGNAHRADRNA,santa_rosaGGNAHRADRNAinsfd,,,,,0.0,1.0,477528.0662823418,,,326.3246765136718,326.3246765136719,33829.04469204647,hradr,hradr,2.0,30,11096575.307883779,1.0,2720.0,,,,Conn,Conn,1.0,MH,MH,srosHRAConnNA,70098NANANANA,2384.0,14.0,38012.64655186946,1,1
2019017,0.495720455352,2019017.0,7090318.2667911695,1290597.013885498,523.5687683105468,8479372.32040572,32390.672758296798,,,Sonoma,1,in,,,0.0,11979282166337,GG,,1,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,1573242.757899022,35.0,,,-570464.9634158569,1.5,1.721763085399449,0.0,0.0,1966.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,,sro4,,1.0,1.0,375090.67161342653,,,373.9776916503906,373.9776916503906,22673.470930807758,dr,dr,4.0,30,8663561.024690192,5.0,3625.0,cr4,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4cr4NANA,1500.0,15.0,38030.99756105713,1,1
1926013,2.96950844177,1926013.0,42473050.52828999,7219766.99430016,617.7879904214237,49109585.46804799,194029.46792275005,,,Sonoma,13,in,,,0.0,1691705423664,GG,,13,Santa Rosa,sros,Santa Rosa,santa_rosa,,,,srosConn,santa_rosa,70098.0,9217584.91214239,54.45,,,-5134904.361794811,1.5,1.7857142857142858,0.0,0.0,1977.0,,surface,0.0,GGNANANA,santa_rosaGGNANANAinNA,sro5,santa rosa4,sro5,santa rosa4,1.0,1.0,2553854.389410425,,,361.5767822265625,361.5767822265625,135820.62754592503,,,4.0,30,51690635.44043238,0.0,17186.0,b2,,,Conn,Conn,1.0,MH,M,srosNAConnNA,70098SRO5b2NANA,1000.0,135.0,38036.32860588749,1,1
2042666,0.54067283187,2042666.0,7733274.701047909,2103985.3544984544,439.5022882892827,9602229.948962707,35327.88808153453,,,Sonoma,2,in,,,0.0,15410604184380,GG,,2,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,2362763.482036156,54.45,,,-916609.5611559175,1.5,1.7857142857142858,0.0,0.0,1949.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro2,santa rosa2,sro2,santa rosa2,1.0,1.0,404828.5905413062,,,388.2901611328125,388.2901611328125,24729.521657074172,dr,dr,4.0,30,10096038.183084065,0.0,7040.0,b1,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO2b1NANA,1000.0,24.0,38192.065048163226,1,1
2039204,0.227228239654,2039204.0,3250058.618633232,621626.4804809827,442.90532410010735,3775101.4423409915,14847.229870412206,,,Sonoma,1,in,,,0.0,3017469513763,GG,,1,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,731225.0997767112,54.45,,,-383539.28984546434,1.5,1.785714285714286,0.0,0.0,1950.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro2,santa rosa2,sro2,santa rosa2,1.0,1.0,177357.0137765124,,,363.2328796386719,363.2328796386719,10393.060909288544,dr,dr,4.0,30,3981283.7184099434,0.0,2064.0,b1,tra3,tra3,R,R,1.0,MH,M,srosNARNA,70098SRO2b1NANA,1000.0,10.0,38353.92898454644,1,1
1996592,0.880152181964,1996592.0,12588867.427115092,2315031.8150183037,340.4458551497505,14220939.050430423,57509.67303387434,,,Sonoma,4,inun,ubz,,0.0,7838657256572,,,4,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,,,,unincorporated_sonoma,97.0,2641347.3119416353,54.472590386339874,,,-1535278.7100696992,1.5,1.7864551484435225,0.0,0.0,1985.0,,surface,0.0,NANANANA,unincorporated_sonomaNANANANAinunNA,,,,,0.0,1.0,526003.0214433951,,,353.2558288574219,353.2558288574219,40256.77112371203,,,4.0,30,15230214.739056727,0.0,10000.0,,,,,,1.0,MH,M,usonNANANA,00097NANAubzNA,1000.0,40.0,38381.96775174248,1,1
