parcel_id,ACRES,PARCEL_ID,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,cat_id,cat_id_y,county,deed_restricted_units,exp2020_id,exp_id,exsfd_id,fees,geom_id,gg_id,hra_id,inclusionary_units,juris,juris_id,juris_name,juris_name_full,juris_ppa,juris_sesit,juris_tra,juris_trich,juris_y,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,nodev,non_residential_sqft,oldest_building,opp_id,parking_config,parking_ratio,pba50chcat,pba50zoningmodcat,pda_id_pba40,pda_id_pba50,pda_pba40,pda_pba50,perfarea,perffoot,policy_based_revenue_reduction,ppa_id,ppa_id_y,residential,residential_sales_price_sqft,residential_sqft,sesit_id,sesit_id_y,stories,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,tra_id,tra_id_y,trich_id,trich_id_y,urbanized,vmt_nonres_cat,vmt_res_cat,zoninghzcat,zoningmodcat,ave_sqft_per_unit,residential_units,subsidy_per_unit,regional,subaccount
1730286,0.233261190056,1730286.0,4405991.566509002,3312731.561647527,652.775567633172,7169984.294358469,18289.711774632637,,,Solano,1,in,,,0.0,11422919082387,GG,,1,Fairfield,frfd,Fairfield,fairfield,,,frfdtra3,frfdR,fairfield,23182.0,3478552.0753354845,58.088588921248956,,,-1150614.5892903784,1.8,1.9050435826199972,0.0,0.0,1957.0,,surface,0.0,GGtra3NANA,fairfieldGGtra3NANAinNA,fai1,fairfield3,fai1,fairfield3,1.0,1.0,413494.1714261174,,,560.0325927734375,560.0325927734375,12802.798242242845,,,5.0,26,7884543.641844487,0.0,7463.0,b3,tra3,tra3,R,R,1.0,MH,S,frfdNARNA,23182FAI1b3NANA,1000.0,12.0,95884.54910753154,1,1
1729735,0.198748399158,1729735.0,3754091.155657243,2674007.853480032,773.9337972005208,6030340.438220632,15583.60795208486,,,Solano,0,in,,,0.0,4286375657265,GG,,0,Fairfield,frfd,Fairfield,fairfield,,,,frfdRna,fairfield,23182.0,2841517.310097272,35.0,,,-576573.3880845599,1.8,1.94406522521809,0.0,0.0,1937.0,,surface,0.0,GGNANANA,fairfieldGGNANANAinNA,fai1,,fai1,,1.0,1.0,0.0,,,552.8098551432291,552.8098551432291,10908.5255664594,,,5.0,26,6595608.465754515,3.0,5081.00887264,b3,,,Rna,Rna,1.0,MH,S,frfdNARnaNA,23182FAI1b3NANA,1693.66962421,6.0,96095.56468075998,1,1
1787309,0.444687239469,1787309.0,9055827.723439274,10176118.264239574,644.8155722316577,17455692.149300087,48426.88622160039,,,Solano,5,in,,,0.0,11435005712588,GG,HRA,5,Benicia,beni,Benicia,benicia,,benihra,,,benicia,5290.0,10488382.36774336,78.19372259210348,,,-3174011.9732820494,2.5,2.5644012394104516,0.0,0.0,1942.0,,deck,0.2,GGNAHRANA,beniciaGGNAHRANAinNA,ben1,,ben1,,1.0,1.0,1085494.0313995027,,,643.6688639322916,643.6688639322916,33898.820355120275,hra,hra,4.0,25,19544210.091182634,0.0,23208.0,,,,,,1.0,H,M,beniHRANANA,05290BEN1NANANA,1000.0,33.0,96182.18100854695,1,1
1764065,1.98778882254,1764065.0,1704935.0135827074,1070858.4124607027,929.8104899088542,4025562.3672983656,8658.887829267178,,,Solano,0,inun,exp0,,0.0,2564431274642,,,0,Solano County,usol,Solano County,unincorporated_solano,,usoldr,,,unincorporated_solano,95.0,2802635.978314138,4.0,,,-482008.62459847983,0.1,0.1487603305785124,0.0,0.0,1955.0,,surface,0.0,NANADRNA,unincorporated_solanoNANADRNAinunNA,,,,,0.0,1.0,0.0,,,664.1503499348959,664.1503499348959,6061.221480487025,dr,dr,1.0,25,4507570.991896845,1.0,1693.66962421,,,,,,1.0,H,M,usolNANANA,00095NANAexp0NA,1134.0,5.0,96401.72491969596,1,1
1812409,0.165389788827,1812409.0,2365579.689521039,1576563.1592449185,617.2724265664813,3579560.421356473,10806.668293837547,,,Solano,0,in,,,0.0,16295399184440,GG,,0,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,1687740.798592188,38.76214563384885,,,-483235.2680918888,1.5,1.910648855033282,0.0,0.0,1974.0,,surface,0.0,GGNADRNA,vacavilleGGNADRNAinNA,vac1,,vac1,,1.0,1.0,0.0,,,473.1946614583333,473.1946614583333,7564.667805686282,dr,dr,4.0,26,4053320.488113227,0.0,3756.0,b2,,,,,1.0,MH,S,vacaNANANA,81554VAC1b2NANA,1503.0,5.0,96647.05361837776,1,1
1747996,0.120110414566,1747996.0,1717946.187684454,2177819.5867102863,946.9768961588542,3715978.411560897,7848.086741363426,,,Solano,0,in,,,0.0,8083622633617,GG,,0,Vallejo,vall,Vallejo,vallejo,,,,vallR,vallejo,81666.0,2282460.7432617988,35.0,,,-290117.08977306314,1.5,1.6586317722681359,0.0,0.0,1929.0,,surface,0.0,GGNANANA,vallejoGGNANANAinNA,,vallejo2,,vallejo2,0.0,1.0,0.0,,,676.4120686848959,676.4120686848959,5493.660718954397,,,4.0,25,4000406.930946253,2.0,3382.0,,,,R,R,1.0,MH,S,vallNARNA,81666NANANANA,1445.0,3.0,96705.69659102104,1,1
1729822,0.173604034837,1729822.0,3279147.7794489716,2347121.3845458725,651.0088824821577,5274541.834106123,13612.070483391331,,,Solano,0,in,,,0.0,5930000199795,GG,,0,Fairfield,frfd,Fairfield,fairfield,,,frfdtra3,frfdR,fairfield,23182.0,2470198.8677911633,35.0,,,-484300.90939669206,1.8,1.9440652252180899,0.0,0.0,1957.0,,surface,0.0,GGtra3NANA,fairfieldGGtra3NANAinNA,fai1,fairfield3,fai1,fairfield3,1.0,1.0,0.0,,,553.5572102864584,553.5572102864584,9528.449338373932,,,5.0,26,5749346.647240135,0.0,5302.0,b3,tra3,tra3,R,R,1.0,MH,S,frfdNARNA,23182FAI1b3NANA,1693.66962421,5.0,96860.18187933842,1,1
1730237,0.379057468027,1730237.0,7159888.050593689,4519930.446100094,784.917724609375,11664431.376359176,29721.411584033576,,,Solano,1,in,,,0.0,14687012342263,GG,,1,Fairfield,frfd,Fairfield,fairfield,,,frfdtra3,frfdR,fairfield,23182.0,4843942.428776738,35.0,,,-1165274.4194603711,1.8,1.9440652252180899,0.0,0.0,1937.0,,surface,0.0,GGtra3NANA,fairfieldGGtra3NANAinNA,fai1,,fai1,,1.0,1.0,803026.7984204858,,,560.655517578125,560.655517578125,20804.9881088235,,,5.0,26,12003830.479370426,5.0,8468.34812106,b3,tra3,tra3,R,R,1.0,MH,S,frfdNARNA,23182FAI1b3NANA,1693.66962421,12.0,97106.20162169759,1,1
1817663,4.82619571758,1817663.0,10348622.0065254,621621.51603125,460.76072998046874,12108274.83498879,52557.75523882884,,,Solano,1,in,,sfd,0.0,1276571158425,,,1,Vacaville,vaca,Vacaville,vacaville,,,,,vacaville,81554.0,3043276.483029008,4.0,,,-1750471.7939941362,0.25,0.2607897153351699,0.0,0.0,1978.0,,surface,0.0,NANANANA,vacavilleNANANANAinsfd,,,,,0.0,1.0,432525.1630756925,,,329.11480712890625,329.11480712890625,36790.42866718018,,,1.0,26,13391898.489554407,1.0,1984.0,,,,,,1.0,MH,S,vacaNANANA,81554NANANANA,1988.0,18.0,97248.43299967423,1,1
1812345,0.677780603982,1812345.0,9694335.074145611,5312295.884825263,617.2724265664813,14627278.510949077,44286.59238988401,,,Solano,2,in,,,0.0,16295500727644,GG,,2,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,5767910.7573063355,38.76214563384885,,,-1946530.228665174,1.5,1.9106488550332816,0.0,0.0,1957.0,,surface,0.0,GGNADRNA,vacavilleGGNADRNAinNA,vac1,vacaville3,vac1,vacaville3,1.0,1.0,1073395.6487767126,,,471.8383382161458,471.8383382161458,31000.614672918808,dr,dr,4.0,26,15462245.831451947,0.0,12656.0,b2,,,,,1.0,MH,S,vacaNANANA,81554VAC1b2NANA,1503.0,20.0,97326.5114332587,1,1
1746393,0.149835648006,1746393.0,2143107.916172351,2716370.321145833,941.2493489583333,4607580.929293457,9790.351375844455,,,Solano,0,in,,,0.0,13172438525139,GG,,0,Vallejo,vall,Vallejo,vallejo,,,,,vallejo,81666.0,2846908.339490426,35.0,,,-390084.0328967055,1.5,1.6586317722681359,0.0,0.0,1938.0,,surface,0.0,GGNANANA,vallejoGGNANANAinNA,,,,,0.0,1.0,0.0,,,672.3209635416666,672.3209635416666,6853.245963091118,,,4.0,25,4990016.2556627765,2.0,4244.0,,,,,,1.0,MH,S,vallNANANA,81666NANANANA,1445.0,4.0,97521.00822417637,1,1
1744258,0.150618106391,1744258.0,1436199.6423909115,1746708.4440312497,922.6612386067707,3026783.3278551833,6560.985118277347,,,Solano,0,in,,,0.0,6711210665512,GG,,0,Vallejo,vall,Vallejo,vallejo,,valldr,,,vallejo,81666.0,1877928.1463967967,25.0,,,-293091.3501511754,1.0,1.0355175127902396,0.0,0.0,1965.0,,surface,0.0,GGNADRNA,vallejoGGNADRNAinNA,,vallejo2,,vallejo2,1.0,1.0,0.0,,,659.0437418619791,659.0437418619791,4592.689582794143,dr,dr,2.0,25,3314127.788787708,2.0,2784.0,b2,,,,,1.0,MH,S,vallNANANA,81666NAb2NANA,1262.9999999999993,3.0,97697.11671705847,1,1
1731527,0.912500834919,1731527.0,8701034.717499176,7314667.1915465,793.9021402994791,15778369.312568914,39748.90231840647,,,Solano,2,in,,,0.0,10965870877176,GG,,2,Fairfield,frfd,Fairfield,fairfield,,frfddr,,frfdConn,fairfield,23182.0,8103585.657174945,25.0,,,-2154844.6667841263,1.0,1.0346976256067166,0.0,0.0,1979.0,,surface,0.0,GGNADRNA,fairfieldGGNADRNAinNA,fai4,fairfield3,fai4,fairfield3,1.0,1.0,1086341.7484674677,,,567.0729573567709,567.0729573567709,27824.23162288453,dr,dr,2.0,26,16804620.37467412,8.0,13549.3569937,b3,,,Conn,Conn,1.0,H,S,frfdNAConnNA,23182FAI4b3NANA,1262.0,22.0,97947.48485382392,1,1
