"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
11.188631,9.703693,9.689527,9.062066,9.015174,11.912581,10.388825,10.381814,9.71373,9.713687,12.285101,10.76934,10.759854,10.142758,10.142738,12.452307,10.938996,10.931664,10.336145,10.336145,26,9,2
10.314043,9.473982,9.449391,8.990608,8.990597,11.04331,10.126352,10.114861,9.629938,9.629966,11.423922,10.523872,10.510017,10.076134,10.076083,11.671544,10.708716,10.698363,10.278734,10.27867,27,10,0
11.333319,9.760645,9.748885,9.059422,9.05941,12.06088,10.457159,10.451157,9.720009,9.697705,12.441948,10.848317,10.840214,10.159253,10.133363,12.61375,11.024529,11.018323,10.359113,10.340877,28,10,1
11.138073,9.651187,9.635959,9.025466,8.975854,11.864735,10.334766,10.327012,9.67631,9.676251,12.245311,10.727972,10.717922,10.118774,10.118827,12.42026,10.906547,10.898765,10.320003,10.319998,29,10,2
10.535924,9.67111,9.651053,9.146093,9.146097,11.243196,10.31292,10.303649,9.780219,9.780168,11.564577,10.649672,10.636981,10.169984,10.170025,11.815215,10.841738,10.832724,10.378215,10.378143,30,11,0
11.433256,9.893564,9.883615,9.198955,9.159284,12.167975,10.582372,10.577391,9.851917,9.832361,12.519019,10.928334,10.921431,10.239006,10.21513,12.704677,11.113911,11.108687,10.444436,10.444467,31,11,1
11.243862,9.801045,9.788265,9.172022,9.172009,11.975796,10.473235,10.466682,9.815633,9.815713,12.324592,10.815999,10.807169,10.203978,10.203992,12.513565,11.003299,10.996369,10.410723,10.410688,32,11,2
10.868258,9.976588,9.96195,9.400812,9.365293,11.543975,10.591488,10.584672,10.013031,9.995435,11.788517,10.853123,10.843049,10.329762,10.30733,12.042048,11.057368,11.050034,10.545407,10.530188,33,12,0
11.708158,10.180504,10.173558,9.455037,9.425627,12.431237,10.849076,10.845725,10.088876,10.088881,12.727518,11.131529,11.126359,10.405585,10.405583,12.930411,11.330876,11.32714,10.619336,10.619397,34,12,1
11.5211,10.094753,10.085736,9.427574,9.427551,12.238633,10.743815,10.739392,10.050921,10.050883,12.533536,11.019659,11.013153,10.367608,10.346837,12.737968,11.219638,11.214623,10.582177,10.567937,35,12,2
10.955075,10.058558,10.045045,9.47076,9.438141,11.620577,10.66583,10.659403,10.076311,10.059946,11.849879,10.909421,10.899807,10.375443,10.354216,12.109359,11.121942,11.115174,10.598114,10.583675,36,13,0
11.749014,10.249972,10.243128,9.523062,9.495474,12.464589,10.909192,10.905471,10.149995,10.150004,12.739384,11.172867,11.167122,10.449891,10.449922,12.940229,11.375877,11.37166,10.669414,10.669408,37,13,1
11.568511,10.170176,10.161493,9.496776,9.496754,12.279511,10.810652,10.806216,10.113428,10.098413,12.550847,11.068436,11.061464,10.413057,10.393126,12.754624,11.273895,11.268806,10.633944,10.620307,38,13,2
10.93441,10.038696,10.024958,9.452513,9.419662,11.597678,10.64324,10.636402,10.055652,10.055713,11.829226,10.888662,10.879506,10.357951,10.357949,12.100726,11.108563,11.101766,10.586171,10.586308,39,14,0
11.723833,10.231852,10.224928,9.50487,9.50491,12.433415,10.886748,10.883035,10.128982,10.129005,12.713578,11.154073,11.148386,10.432419,10.41358,12.919399,11.36243,11.358129,10.657225,10.644364,40,14,1
11.54622,10.15227,10.143619,9.478609,9.44857,12.251694,10.789186,10.784704,10.092723,10.077538,12.528182,11.050315,11.043386,10.3957,10.375691,12.736711,11.261229,11.256411,10.622078,10.608412,41,14,2
10.74894,9.865555,9.849423,9.303908,9.265988,11.422769,10.47487,10.467094,9.911153,9.911105,11.680032,10.756619,10.7457,10.250223,10.250239,11.966535,10.982233,10.974584,10.483921,10.483936,42,15,0
11.628338,10.092987,10.085266,9.364677,9.364662,12.340675,10.756571,10.752394,9.994785,9.978969,12.647259,11.055848,11.049685,10.333211,10.312581,12.85673,11.269315,11.264658,10.563334,10.549218,43,15,1
11.440216,10.001619,9.991763,9.33441,9.300047,12.149273,10.647042,10.642093,9.953798,9.936524,12.452398,10.941681,10.934059,10.292652,10.27039,12.665329,11.157834,11.152255,10.524321,10.524355,44,15,2
