"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,4,0,0
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,18,2,6
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,2,2,2
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,18,10,10
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,14,12,12
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,74,28,50
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,48,10,12
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,14,14,14
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,40,22,28
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,20,14,18
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,10,10,10
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,14,12,12
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,8,8
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,48,40,40
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,208,74,102
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,46,12,16
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,76,58,66
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,18,8,12
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,26,12,12
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,60,48,50
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,16,16,16
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,8,4,4
3,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,76,56,60
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,26,24,24
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,4,4,4
4,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,22,6,10
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,12,2,6
4,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,14,12,12
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,18,12,16
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,12,10,12
4,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,12,10,10
5,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,142,60,76
5,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,90,30,40
5,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,176,156,158
5,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,48,40,46
5,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,96,66,72
5,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,64,58,64
5,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,26,20,24
5,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,22,18,20
5,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,96,58,76
5,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,54,22,36
5,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,16,16,16
6,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1132,348,924
6,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,16,16,16
6,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,188,50,152
6,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,860,710,752
6,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,152,130,144
6,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,148,116,128
6,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,532,506,524
6,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,158,128,140
6,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,82,76,80
6,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,396,302,344
6,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,212,124,166
6,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,36,28,30
7,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,2450,816,1212
7,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,46,36,44
7,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,432,108,178
7,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,738,592,658
7,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,76,68,72
7,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,108,90,92
7,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,558,488,522
7,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,142,112,122
7,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,62,46,60
7,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,302,190,244
7,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,188,82,130
7,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,10,8,10
8,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,5336,1444,2026
8,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,196,116,172
8,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,954,192,278
8,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,822,560,676
8,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,244,118,194
8,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,94,56,64
8,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,352,270,298
8,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,198,104,142
8,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,28,18,22
8,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,352,184,258
8,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,146,76,108
8,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,6,6,6
9,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,3394,1408,2014
9,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,82,56,72
9,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,968,330,472
9,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,1024,782,904
9,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,466,268,378
9,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,198,148,154
9,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,752,622,692
9,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,392,240,304
9,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,142,86,116
9,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,856,678,752
9,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,764,428,592
9,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,42,34,36
10,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1178,356,662
10,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,112,48,86
10,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,498,116,212
10,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,270,138,194
10,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,48,32,44
10,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,174,54,94
10,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,490,462,480
10,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,392,300,350
10,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,198,146,174
10,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,492,478,478
10,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,240,236,236
10,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,156,146,146
11,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1152,518,702
11,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,294,132,252
11,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,458,200,252
11,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,492,360,452
11,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,412,218,344
11,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,146,118,128
11,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,262,210,244
11,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,452,236,340
11,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,76,60,68
11,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,232,222,230
11,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,218,176,192
11,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,42,36,38
12,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,86,14,24
12,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,6,2,4
12,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,36,4,10
12,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,240,222,230
12,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,54,54,54
12,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,80,72,78
12,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,410,396,396
12,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,92,92,92
