"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
12,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,130,118,120
13,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,4,0,0
13,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,2,2,2
13,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,4,4,4
13,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,10,10,10
14,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,22,6,12
14,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,14,4,4
14,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,30,26,28
14,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,24,24,24
14,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,38,36,38
14,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,50,46,46
14,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,20,20,20
14,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,106,102,104
15,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,52,8,24
15,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,8,4,6
15,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,56,56,56
15,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,16,16,16
15,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,44,38,42
15,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,74,68,68
15,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,28,28,28
15,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,82,74,74
16,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,308,54,116
16,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,238,30,84
16,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,92,30,50
16,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,12,8,10
16,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,162,40,80
16,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,266,186,216
16,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,138,108,118
16,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,346,194,240
16,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,1082,802,846
16,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,788,642,708
16,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,1086,592,676
17,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,872,246,430
17,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,96,44,78
17,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,574,154,284
17,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,534,350,448
17,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,222,128,188
17,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,290,158,194
17,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,644,510,598
17,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,576,352,476
17,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,418,324,356
17,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,1460,1296,1348
17,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,1418,1218,1302
17,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,686,578,600
18,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,288,100,132
18,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,20,8,18
18,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,170,36,52
18,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,80,50,68
18,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,46,32,46
18,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,62,36,48
18,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,106,88,98
18,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,132,88,112
18,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,124,98,106
18,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,250,238,240
18,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,280,238,256
18,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,292,272,280
19,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,174,22,38
19,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,206,48,52
19,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,4,4,4
19,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,6,2,2
19,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,8,8,8
19,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,26,18,18
19,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,88,64,70
19,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,26,24,24
19,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,102,72,86
19,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,254,218,224
20,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,690,208,326
20,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,80,38,68
20,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,504,142,212
20,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,278,204,228
20,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,152,108,134
20,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,178,120,128
20,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,198,176,186
20,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,372,248,308
20,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,154,108,126
20,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,348,298,314
20,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,684,464,560
20,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,234,146,164
21,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1550,346,460
21,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,30,16,24
21,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,944,144,208
21,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,226,124,144
21,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,110,80,102
21,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,240,102,114
21,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,184,134,140
21,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,144,108,124
21,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,122,72,84
21,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,542,438,476
21,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,390,340,362
21,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,250,176,190
22,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,238,72,96
22,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,60,24,34
22,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,134,28,36
22,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,152,108,110
22,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,16,8,10
22,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,194,106,118
22,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,186,122,134
22,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,28,16,20
22,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,210,142,150
22,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,248,172,176
22,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,122,104,106
22,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,274,150,154
23,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,128,48,68
23,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,28,8,16
23,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,198,68,114
23,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,14,8,12
23,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,36,16,26
23,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,28,16,20
23,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,22,12,16
23,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,8,4,8
23,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,38,20,32
23,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,64,46,50
23,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,82,56,60
23,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,318,138,192
24,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,264,168,192
24,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,16,16,16
24,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,176,60,84
24,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,22,18,20
24,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,30,20,26
24,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,10,10,10
24,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,10,8,8
24,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,16,10,12
24,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,6,4,4
24,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,10,8,8
24,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,4,4,4
25,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,2512,882,1396
25,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,352,114,188
25,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,332,70,138
25,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,420,214,304
25,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,166,60,98
25,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,54,22,32
25,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,154,104,124
25,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,34,20,20
25,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,24,4,8
25,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,44,38,42
25,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,14,8,10
25,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,4,0,0
26,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,778,320,448
26,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,128,58,100
26,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,88,24,34
26,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,122,78,98
26,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,50,30,38
26,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,10,6,6
26,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,104,80,80
26,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,74,42,54
26,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,6,6,6
26,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,68,62,66
26,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,16,16,16
26,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,12,2,2
27,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1066,416,582
27,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,284,114,190
27,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,332,74,104
27,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,204,144,158
27,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,56,36,44
27,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,98,50,58
27,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,154,116,122
27,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,104,70,84
27,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,66,42,42
27,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,318,280,288
27,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,112,86,96
27,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,42,20,20
28,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,600,210,312
28,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,84,38,70
28,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,238,52,78
28,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,252,182,202
28,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,194,90,144
28,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,206,114,130
28,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,238,192,206
28,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,136,102,126
28,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,162,100,114
28,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,608,520,534
28,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,392,386,392
28,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,350,216,226
29,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1358,552,972
29,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,236,92,158
29,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,264,106,164
29,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,774,648,686
29,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,282,164,214
29,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,218,178,184
29,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,662,578,608
29,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,214,134,184
29,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,192,162,164
29,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,774,686,696
29,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,192,190,192
29,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,158,104,110
30,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,2312,882,1302
30,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,136,48,96
30,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,934,318,452
30,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,1200,896,994
30,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,290,234,260
30,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,486,320,332
30,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,518,450,482
30,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,648,434,550
30,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,164,124,138
30,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,676,528,584
30,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,694,402,534
30,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,210,134,148
31,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1428,628,880
31,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,50,28,42
31,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,412,160,226
31,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,574,482,502
31,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,136,124,136
31,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,148,102,106
31,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,270,262,264
31,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,106,106,106
31,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,90,78,82
31,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,322,218,244
31,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,178,124,150
31,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,182,56,86
32,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,940,480,600
32,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,230,116,144
32,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,366,132,190
32,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,292,236,266
32,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,324,168,268
32,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,120,104,104
32,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,514,448,482
32,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,156,144,150
32,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,194,170,176
