"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
9.904527,9.039412,9.039406,8.474481,8.474506,11.170245,10.238435,10.238878,9.653088,9.653066,11.27921,10.373735,10.373849,9.84932,9.849364,11.58909,10.605991,10.606125,10.067974,10.06808,0,1,0
10.70414,9.227072,9.227055,8.524509,8.524522,12.030949,10.480339,10.480354,9.726802,9.726808,12.195383,10.634804,10.634728,9.924173,9.924194,12.434937,10.865708,10.865834,10.144077,10.144146,1,1,1
10.526143,9.15026,9.150211,8.499651,8.499607,11.844262,10.383666,10.383738,9.690508,9.690426,12.00394,10.532329,10.532496,9.887622,9.887651,12.246727,10.762447,10.762156,10.10667,10.106624,2,1,2
9.906281,9.039608,9.039662,8.470298,8.470328,11.164793,10.233711,10.233581,9.644011,9.644001,11.271379,10.36939,10.369404,9.84169,9.841737,11.572923,10.589933,10.589771,10.04995,10.049998,3,2,0
10.694986,9.219638,9.219665,8.518071,8.518055,11.997697,10.462456,10.462421,9.712852,9.712852,12.160007,10.615453,10.615342,9.910932,9.910927,12.389717,10.836228,10.836277,10.120599,10.120643,4,2,1
10.517574,9.144186,9.144168,8.494149,8.494138,11.815577,10.368977,10.368984,9.678695,9.678717,11.973289,10.516787,10.516884,9.87679,9.876822,12.206763,10.736619,10.736458,10.085567,10.085641,5,2,2
9.769608,8.916282,8.916269,8.364765,8.364743,11.031168,10.104026,10.104301,9.531214,9.531195,11.158014,10.266529,10.266315,9.757372,9.75733,11.447071,10.465631,10.46575,9.947409,9.947341,6,3,0
10.63129,9.113978,9.113984,8.416563,8.416548,11.945701,10.36075,10.360713,9.607938,9.60795,12.121016,10.536695,10.536636,9.832734,9.832682,12.339752,10.741478,10.741549,10.025673,10.02565,7,3,1
10.441287,9.031138,9.03116,8.39058,8.390583,11.749637,10.256325,10.256309,9.569818,9.569877,11.922763,10.428563,10.428585,9.795528,9.795484,12.143729,10.630424,10.630479,9.986925,9.986884,8,3,2
10.016088,9.143103,9.143106,8.567384,8.567383,11.273156,10.335428,10.335484,9.740265,9.740233,11.366888,10.453352,10.452988,9.917034,9.917021,11.65461,10.668311,10.66858,10.121111,10.121032,9,4,0
10.826239,9.328456,9.328471,8.618456,8.618471,12.131168,10.573051,10.573051,9.814133,9.814073,12.266472,10.70484,10.704853,9.990224,9.990194,12.492576,10.921598,10.921479,10.196091,10.196157,10,4,1
10.642296,9.250198,9.250158,8.592917,8.592917,11.942818,10.475533,10.475534,9.777487,9.777488,12.075643,10.603441,10.603445,9.954138,9.954142,12.303942,10.818384,10.818727,10.158938,10.158942,11,4,2
9.748665,8.900117,8.900093,8.357331,8.357314,11.003993,10.081388,10.081261,9.516706,9.516696,11.14003,10.252914,10.252727,9.751486,9.751507,11.411295,10.43011,10.430107,9.922296,9.922278,12,5,0
10.610023,9.100682,9.100685,8.408105,8.408078,11.898168,10.332477,10.332433,9.589144,9.589104,12.091619,10.517694,10.517758,9.822131,9.822133,12.283652,10.69941,10.699406,9.99553,9.995475,13,5,1
10.425459,9.016826,9.016827,8.382624,8.382609,11.709115,10.230229,10.230276,9.55317,9.553122,11.899143,10.411289,10.411181,9.787111,9.787111,12.093301,10.590799,10.5905,9.959029,9.959047,14,5,2
9.59504,8.760894,8.760932,8.240706,8.240699,10.849799,9.936007,9.935965,9.392434,9.392384,11.009449,10.132951,10.133044,9.655302,9.65529,11.260116,10.286399,10.286334,9.806623,9.80659,15,6,0
10.422689,8.943475,8.943468,8.284186,8.284189,11.743079,10.178957,10.178969,9.458735,9.458748,11.960795,10.392145,10.392044,9.721465,9.721452,12.145071,10.556202,10.556221,9.875974,9.875903,16,6,1
