"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
9.371247,8.531961,8.50177,7.97475,7.909206,11.720739,10.7673,10.761894,10.17101,10.155981,11.824596,10.887792,10.87832,10.350321,10.328815,12.154817,11.170884,11.164408,10.6422,10.627827,0,1,0
10.243502,8.744905,8.730632,8.030277,7.975727,12.594687,11.029327,11.026324,10.252908,10.252909,12.753292,11.174092,11.1686,10.433971,10.433993,13.025908,11.4475,11.443674,10.722607,10.72266,1,1,1
10.062231,8.660377,8.6421,8.002694,8.002649,12.407414,10.926994,10.923261,10.212766,10.212682,12.561628,11.064492,11.057984,10.393207,10.373289,12.836308,11.339818,11.334699,10.683181,10.669591,2,1,2
9.331655,8.494682,8.464098,7.938361,7.870904,11.69102,10.739684,10.733506,10.141975,10.12656,11.800973,10.86924,10.859626,10.33088,10.309085,12.12923,11.146212,11.139375,10.617247,10.602572,3,2,0
10.205752,8.703353,8.68866,7.991976,7.935543,12.547796,10.991337,10.988162,10.219245,10.219241,12.712399,11.142728,11.137112,10.408916,10.408911,12.977812,11.410473,11.40648,10.692187,10.692219,4,2,1
10.02342,8.618825,8.600019,7.965101,7.96509,12.363177,10.890892,10.886937,10.181024,10.167047,12.523686,11.035675,11.02898,10.370431,10.350142,12.792074,11.305721,11.300618,10.655042,10.6413,5,2,2
9.158587,8.342084,8.306585,7.809593,7.733268,11.534568,10.586246,10.5795,10.008793,10.008773,11.675713,10.752455,10.741364,10.235209,10.235169,12.00446,11.023667,11.01618,10.518128,10.518079,6,3,0
10.106572,8.568685,8.551951,7.865704,7.865689,12.459362,10.862219,10.858612,10.091222,10.076645,12.646747,11.045822,11.039663,10.316554,10.295717,12.910396,11.309879,11.305456,10.596869,10.582565,7,3,1
9.914021,8.47678,8.455298,7.837427,7.768113,12.263488,10.752098,10.747508,10.050195,10.034266,12.448925,10.930716,10.923115,10.276183,10.253839,12.715009,11.196169,11.190736,10.557703,10.542481,8,3,2
9.461438,8.613175,8.585481,8.046359,8.046356,11.817141,10.858788,10.853385,10.253724,10.253675,11.910836,10.966717,10.957457,10.417515,10.417501,12.224977,11.237203,11.231253,10.698019,10.697972,9,4,0
10.33615,8.822622,8.809273,8.102352,8.102366,12.684592,11.115405,11.112588,10.335203,10.32341,12.819597,11.241976,11.236931,10.498976,10.481233,13.082834,11.505348,11.50149,10.776824,10.764647,10,4,1
10.150744,8.737152,8.720045,8.074374,8.017986,12.496589,11.012791,11.00923,10.295007,10.282196,12.629275,11.133962,11.127655,10.458934,10.458961,12.89362,11.398444,11.394234,10.737928,10.724916,11,4,2
9.155335,8.341567,8.306065,7.81507,7.815053,11.527315,10.581504,10.574158,10.010806,10.010777,11.676476,10.755677,10.744528,10.242692,10.242697,11.995157,11.016943,11.009283,10.517602,10.500879,12,5,0
10.118933,8.57617,8.561051,7.871923,7.809649,12.449692,10.857746,10.854475,10.091236,10.076476,12.655574,11.050858,11.045686,10.321982,10.32199,12.915475,11.307743,11.303867,10.594516,10.580044,13,5,1
9.927971,8.480959,8.460875,7.843172,7.843167,12.256845,10.746921,10.742644,10.051108,10.051045,12.45989,10.934065,10.926962,10.282339,10.282342,12.721437,11.191429,11.185945,10.55584,10.555875,14,5,2
8.922399,8.139419,8.096688,7.649981,7.649971,11.317859,10.381882,10.373103,9.842383,9.821106,11.518214,10.607858,10.595323,10.124572,10.097339,11.832468,10.862902,10.85395,10.395431,10.376768,15,6,0
9.888323,8.365833,8.345189,7.700127,7.624229,12.253979,10.659167,10.654698,9.917421,9.899598,12.49744,10.899734,10.892509,10.198769,10.198739,12.747596,11.148853,11.143566,10.467147,10.46709,16,6,1
9.69776,8.275293,8.248921,7.674777,7.674782,12.058338,10.548772,10.543064,9.879751,9.879773,12.299642,10.785006,10.776078,10.161557,10.161613,12.552235,11.034953,11.028337,10.431128,10.431052,17,6,2
8.922631,8.141596,8.098941,7.650434,7.650441,11.318143,10.383053,10.374124,9.841781,9.820435,11.5208,10.61109,10.598176,10.126648,10.099088,11.830317,10.863144,10.853978,10.395512,10.37663,18,7,0
9.923768,8.383418,8.363191,7.705345,7.70534,12.262491,10.669342,10.664995,9.920517,9.920514,12.498403,10.905928,10.898748,10.202181,10.202221,12.742429,11.150144,11.144692,10.46774,10.467751,19,7,1
9.731259,8.286717,8.260668,7.67762,7.677639,12.068734,10.556386,10.550664,9.881209,9.861677,12.302855,10.790678,10.781764,10.164479,10.138707,12.548388,11.036542,11.029655,10.431454,10.413615,20,7,2
8.937764,8.155902,8.113541,7.668959,7.579246,11.335007,10.402221,10.393744,9.865877,9.844684,11.538665,10.627392,10.614756,10.145688,10.145723,11.84242,10.873466,10.864478,10.409172,10.409206,21,8,0
9.990153,8.424005,8.404333,7.732747,7.732756,12.337644,10.721115,10.716805,9.957682,9.957668,12.558047,10.94852,10.941515,10.23202,10.232013,12.794714,11.186837,11.18163,10.49206,10.492085,22,8,1
9.792622,8.319062,8.293571,7.700962,7.619647,12.138548,10.599162,10.593695,9.912668,9.893496,12.358402,10.826408,10.817743,10.189619,10.164359,12.597594,11.066297,11.059929,10.451284,10.433677,23,8,2
8.820762,8.056211,8.009393,7.598424,7.502052,11.251569,10.317996,10.30851,9.804608,9.804572,11.473667,10.56607,10.552639,10.10566,10.105653,11.767439,10.802067,10.792871,10.360586,10.360622,24,9,0
9.930909,8.365112,8.343954,7.672193,7.672212,12.276381,10.673859,10.669333,9.908308,9.908324,12.514398,10.917584,10.910304,10.201917,10.177533,12.741322,11.145937,11.140461,10.453572,10.436356,25,9,1
9.736502,8.251575,8.224002,7.636361,7.549716,12.083241,10.547492,10.541647,9.859219,9.859179,12.319508,10.792279,10.783144,10.156262,10.156236,12.549301,11.022601,11.015608,10.409425,10.409418,26,9,2
8.786108,8.034353,7.985672,7.585334,7.585327,11.208229,10.279979,10.269946,9.776978,9.777006,11.440793,10.53981,10.526193,10.089934,10.08988,11.747489,10.785699,10.775536,10.352822,10.352762,27,10,0
9.904549,8.332575,8.309884,7.654243,7.654234,12.24005,10.626562,10.621667,9.874298,9.854927,12.484005,10.880273,10.872564,10.179435,10.153902,12.717135,11.117689,11.111807,10.4394,10.421418,28,10,1
9.706462,8.220248,8.190811,7.620327,7.529696,12.043038,10.500111,10.49365,9.827447,9.827392,12.285817,10.755713,10.746044,10.136169,10.13622,12.52207,10.995364,10.987921,10.397583,10.397573,29,10,2
9.026272,8.235126,8.195,7.739257,7.73926,11.40892,10.471628,10.463572,9.929801,9.929756,11.594573,10.679112,10.666755,10.192663,10.192696,11.902634,10.930502,10.921735,10.460393,10.460312,30,11,0
10.013272,8.470831,8.452219,7.79318,7.720972,12.343644,10.750627,10.746498,10.006457,9.989273,12.562771,10.966456,10.959955,10.26583,10.242383,12.81018,11.212531,11.207637,10.530759,10.53079,31,11,1
9.821378,8.374525,8.350182,7.765777,7.765767,12.150577,10.638592,10.633068,9.967851,9.967932,12.367751,10.851581,10.843172,10.22886,10.228882,12.618167,11.098922,11.092386,10.495096,10.495064,32,11,2
9.36552,8.528875,8.498429,7.977664,7.910136,11.722038,10.76475,10.758914,10.174695,10.159072,11.828507,10.892682,10.882968,10.359881,10.337778,12.141607,11.158483,11.151457,10.637124,10.622154,33,12,0
10.281041,8.747574,8.73443,8.033475,7.978999,12.613858,11.028063,11.025304,10.254903,10.254911,12.777776,11.178058,11.173263,10.439812,10.439816,13.044398,11.440145,11.436692,10.715233,10.715288,34,12,1
10.091671,8.657459,8.640056,8.00526,8.005237,12.420943,10.921215,10.917535,10.214934,10.214901,12.583394,11.06422,11.058133,10.399937,10.379606,12.85125,11.326488,11.321791,10.676107,10.662181,35,12,2
