"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.409729,11.191898,11.148842,10.878687,10.821615,10.833302,11.327067,11.312559,10.958616,10.932689,11.067536,11.408282,11.389533,10.988118,10.974281,11.273462,11.471241,11.465271,11.015418,11.007715,0,1,0
10.403737,11.191596,11.148928,10.878667,10.821646,10.822842,11.330344,11.311537,10.959154,10.932261,11.065733,11.403139,11.38965,10.990067,10.972939,11.245097,11.471421,11.471304,11.016492,11.007475,1,1,1
10.408752,11.192592,11.14925,10.878743,10.821379,10.846246,11.327393,11.312163,10.957922,10.932199,11.068,11.406178,11.393005,10.989623,10.973662,11.252007,11.474488,11.473457,11.016517,11.006946,2,1,2
10.472477,11.247402,11.206489,10.930019,10.876368,10.882273,11.380004,11.363256,11.005591,10.982086,11.108331,11.451617,11.433389,11.035685,11.020721,11.287938,11.516699,11.511472,11.061309,11.052483,3,2,0
10.470285,11.247402,11.206514,10.930272,10.876411,10.879628,11.378417,11.361185,11.006091,10.982479,11.096171,11.451875,11.438533,11.035644,11.019575,11.288404,11.512184,11.518333,11.060378,11.05205,4,2,1
10.472019,11.247108,11.206899,10.930142,10.876353,10.885717,11.379745,11.361453,11.005638,10.981464,11.110411,11.451482,11.438785,11.034299,11.019953,11.282898,11.516953,11.515553,11.059338,11.052569,5,2,2
10.492586,11.26977,11.22959,10.951041,10.899139,10.910282,11.40027,11.384372,11.024661,11.001455,11.115021,11.469581,11.452948,11.052957,11.03888,11.302322,11.534656,11.529003,11.075994,11.069449,6,3,0
10.5004,11.269324,11.230501,10.951218,10.899239,10.898401,11.397949,11.384216,11.025126,11.001579,11.094593,11.469037,11.457272,11.052727,11.038038,11.29236,11.536169,11.532481,11.07619,11.070343,7,3,1
10.492759,11.270229,11.230203,10.951187,10.899095,10.898686,11.395319,11.38397,11.025257,11.001228,11.104921,11.470117,11.462116,11.05313,11.03721,11.310077,11.531938,11.528766,11.076392,11.069307,8,3,2
10.580647,11.337511,11.300083,11.014052,10.965877,10.970769,11.459286,11.446144,11.083001,11.061988,11.178136,11.5293,11.51685,11.109884,11.09835,11.344345,11.589552,11.58182,11.134144,11.12641,9,4,0
10.577816,11.337737,11.300881,11.014065,10.965801,10.970694,11.457761,11.444514,11.083678,11.061462,11.157333,11.524998,11.518558,11.110352,11.097684,11.354963,11.588353,11.585449,11.13468,11.127702,10,4,1
10.574033,11.337062,11.301257,11.014042,10.965877,10.965099,11.462047,11.44489,11.083465,11.062034,11.172088,11.526355,11.515144,11.109953,11.096486,11.335564,11.591464,11.582852,11.134187,11.126563,11,4,2
10.633096,11.38555,11.351473,11.059557,11.014024,11.00785,11.505173,11.488815,11.12501,11.104497,11.222203,11.567539,11.555511,11.150441,11.138962,11.362358,11.628914,11.623454,11.173172,11.165671,12,5,0
10.634086,11.38569,11.351189,11.059406,11.014142,11.02382,11.500657,11.48539,11.125541,11.105126,11.212122,11.564487,11.561411,11.151219,11.138333,11.382096,11.629219,11.625838,11.172999,11.166521,13,5,1
10.629032,11.385626,11.351225,11.059425,11.01409,10.998744,11.5028,11.487117,11.125682,11.104808,11.210557,11.563301,11.561031,11.151539,11.137503,11.36578,11.630486,11.621229,11.172864,11.165768,14,5,2
10.538141,11.308804,11.270759,10.991942,10.941057,10.955252,11.435938,11.422625,11.06328,11.041163,11.157009,11.504352,11.499896,11.091296,11.077987,11.342665,11.575226,11.569752,11.1146,11.10667,15,6,0
10.535357,11.309106,11.26961,10.991732,10.941092,10.943143,11.437121,11.422662,11.063887,11.041364,11.169995,11.510139,11.495543,11.092155,11.077933,11.333414,11.569361,11.569888,11.115714,11.107582,16,6,1
10.536198,11.308478,11.270073,10.991889,10.941067,10.948951,11.437144,11.420567,11.064183,11.041792,11.165273,11.509812,11.499057,11.091949,11.077703,11.363086,11.571301,11.573315,11.115387,11.108018,17,6,2
10.588764,11.355897,11.320382,11.035033,10.987573,10.989889,11.479644,11.466751,11.103842,11.082024,11.198973,11.550103,11.538969,11.130505,11.117208,11.381505,11.611654,11.609343,11.152597,11.14653,18,7,0
10.593265,11.356245,11.319482,11.035,10.987487,10.979421,11.481195,11.467333,11.103573,11.082767,11.205451,11.550282,11.533196,11.13098,11.11717,11.364106,11.613325,11.609559,11.153327,11.14523,19,7,1
10.595675,11.355783,11.3206,11.035044,10.987608,10.97978,11.481386,11.465034,11.104075,11.082002,11.204376,11.547766,11.537313,11.128992,11.116664,11.382688,11.604093,11.61001,11.154316,11.146978,20,7,2
10.57904,11.352453,11.316199,11.032658,10.984481,10.997378,11.477526,11.463159,11.10194,11.080443,11.200806,11.547915,11.537667,11.129508,11.115321,11.380395,11.610888,11.609692,11.15184,11.145187,21,8,0
10.587626,11.352808,11.315536,11.032593,10.984444,10.993852,11.479972,11.463185,11.101142,11.080603,11.212886,11.544675,11.537264,11.128309,11.116086,11.377513,11.607099,11.605142,11.15158,11.143926,22,8,1
