"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.982512,11.756242,11.756824,11.434688,11.434684,11.29495,11.847552,11.849519,11.48637,11.486813,11.457986,11.899721,11.89601,11.506388,11.506374,11.619802,11.942591,11.946706,11.522868,11.52336,0,1,0
10.98004,11.756237,11.756626,11.434629,11.434691,11.281078,11.849578,11.849304,11.486876,11.486287,11.459676,11.897994,11.89738,11.507014,11.50608,11.59498,11.943122,11.946904,11.523453,11.523145,1,1,1
10.983217,11.756844,11.756988,11.434733,11.434563,11.295742,11.846142,11.849856,11.486313,11.486714,11.449504,11.901105,11.899327,11.506743,11.50623,11.60563,11.945916,11.945354,11.524038,11.522596,2,1,2
11.049924,11.813733,11.81396,11.488171,11.488317,11.321929,11.902819,11.902069,11.537124,11.537156,11.503277,11.949668,11.945391,11.556329,11.556079,11.641495,11.994141,11.989584,11.572141,11.571891,3,2,0
11.046474,11.814221,11.813463,11.488357,11.488344,11.335699,11.900154,11.902128,11.537416,11.537631,11.489235,11.948898,11.946308,11.555974,11.555709,11.653001,11.991715,11.993039,11.57169,11.571377,4,2,1
11.047496,11.813387,11.814055,11.488217,11.488368,11.333171,11.902205,11.901277,11.537267,11.537004,11.504457,11.948936,11.948028,11.555449,11.555021,11.645164,11.994688,11.992503,11.570889,11.571952,5,2,2
11.040692,11.814061,11.813827,11.489024,11.489088,11.34216,11.903134,11.902427,11.537213,11.537501,11.495996,11.948947,11.942847,11.556123,11.556357,11.639365,11.994709,11.995203,11.571361,11.570741,6,3,0
11.046891,11.813619,11.81432,11.489114,11.489053,11.336708,11.90279,11.901947,11.53766,11.537364,11.474794,11.949058,11.945889,11.555646,11.556039,11.635991,11.993917,11.994907,11.571233,11.571965,7,3,1
11.042278,11.814955,11.814447,11.48904,11.488956,11.336948,11.900311,11.902594,11.53768,11.537367,11.50274,11.948943,11.95188,11.555968,11.556044,11.650659,11.991874,11.991385,11.571476,11.571093,8,3,2
11.102245,11.860246,11.859822,11.531313,11.53143,11.383785,11.945302,11.945195,11.577845,11.578532,11.553511,11.991768,11.987714,11.595914,11.597241,11.670018,12.031403,12.033173,11.611759,11.611933,9,4,0
